beam no,beam center ra [deg],beam center dec [deg],SB
1,119.99997499999999,-21.55214638888889,0759-21B
2,120.96758750000001,-21.549327777777776,0759-21B
3,119.99994583333333,-22.45211861111111,0759-21B
4,120.97371666666666,-22.449280555555557,0759-21B
5,119.03800416666667,-20.649202777777777,0759-21B
6,119.9998875,-20.652063055555555,0759-21B
7,120.96164999999999,-20.649261111111112,0759-21B
8,121.9234625,-20.640797222222222,0759-21B
9,121.93524166666667,-21.540813888888888,0759-21B
10,121.94752916666667,-22.44071388888889,0759-21B
11,121.96034583333332,-23.340719444444446,0759-21B
12,120.98005,-23.349344444444444,0759-21B
13,119.99979166666667,-23.352201944444445,0759-21B
14,119.01941249999999,-23.349286111111113,0759-21B
15,119.02605,-22.44922222222222,0759-21B
16,119.03224166666666,-21.549269444444445,0759-21B
17,118.08672499999999,-19.740316666666665,0759-21B
18,119.04334583333333,-19.748797222222223,0759-21B
19,119.99968333333334,-19.75164638888889,0759-21B
20,120.95589999999999,-19.74886111111111,0759-21B
21,121.91216666666665,-19.740441666666666,0759-21B
22,122.86864583333332,-19.726391666666668,0759-21B
23,122.88547916666667,-20.626669444444445,0759-21B
24,122.90310416666668,-21.52660277777778,0759-21B
25,122.92154583333334,-22.426413888888888,0759-21B
26,122.94083750000001,-23.326319444444444,0759-21B
27,122.96100833333333,-24.22655,0759-21B
28,121.97370416666666,-24.241052777777778,0759-21B
29,120.98659166666665,-24.249741666666665,0759-21B
30,119.99951666666666,-24.25261861111111,0759-21B
31,119.01231666666666,-24.249677777777777,0759-21B
32,118.02484166666666,-24.24092222222222,0759-21B
33,118.03875833333333,-23.340594444444445,0759-21B
34,118.05187916666667,-22.440591666666666,0759-21B
35,118.06422916666666,-21.540694444444444,0759-21B
36,118.07583749999999,-20.640675,0759-21B
1,288.0,-16.172827777777776,1911-16B
2,288.93705,-16.170791666666666,1911-16B
3,287.9999291666667,-17.0728,1911-16B
4,288.94138333333336,-17.070752777777777,1911-16B
5,287.066925,-15.270580555555556,1911-16B
6,287.99995416666667,-15.272744444444445,1911-16B
7,288.93287083333337,-15.270716666666667,1911-16B
8,289.8658625,-15.264494444444445,1911-16B
9,289.874175,-16.16454166666667,1911-16B
10,289.8829083333334,-17.064475,1911-16B
11,289.89208333333335,-17.96451666666667,1911-16B
12,288.945875,-17.970827777777778,1911-16B
13,287.99974166666664,-17.972883333333332,1911-16B
14,287.05348749999996,-17.97068611111111,1911-16B
15,287.05835833333333,-17.070616666666666,1911-16B
16,287.0628375,-16.17065277777778,1911-16B
17,286.14117500000003,-14.363830555555555,1911-16B
18,287.07064166666663,-14.370169444444445,1911-16B
19,287.99979583333334,-14.372327777777778,1911-16B
20,288.9288375,-14.370308333333334,1911-16B
21,289.85795833333333,-14.36411111111111,1911-16B
22,290.78735,-14.353730555555556,1911-16B
23,290.79912083333335,-15.254077777777777,1911-16B
24,290.81156666666664,-16.154080555555556,1911-16B
25,290.82470416666666,-17.053963888888887,1911-16B
