beam no,beam center ra [deg],beam center dec [deg],SB
35,47.74789583333333,-35.28357638888889,0303-37
36,48.85055,-35.259966666666664,0303-37
1,246.14422499999998,-29.8894,1636-28
2,247.18282083333335,-29.90662777777778,1636-28
3,248.22124166666669,-29.916197222222223,1636-28
4,249.25958333333335,-29.91811138888889,1636-28
5,250.29795000000001,-29.912369444444444,1636-28
6,251.33644166666667,-29.898972222222223,1636-28
7,246.68148333333335,-29.119447222222224,1636-28
8,247.71201250000001,-29.13273611111111,1636-28
9,248.74240833333332,-29.138430555555555,1636-28
10,249.77277499999997,-29.136533333333333,1636-28
11,250.803225,-29.127041666666667,1636-28
12,251.83385833333332,-29.109952777777778,1636-28
13,246.18719583333333,-28.3307,1636-28
14,247.210175,-28.347661111111112,1636-28
15,248.23296666666667,-28.357080555555555,1636-28
16,249.25567500000002,-28.358963888888887,1636-28
17,250.27840833333335,-28.35331111111111,1636-28
18,251.3012791666667,-28.340122222222224,1636-28
19,246.715275,-27.56086388888889,1636-28
20,247.7307875,-27.573955555555557,1636-28
21,248.74616250000003,-27.57956666666667,1636-28
22,249.76150833333332,-27.577697222222223,1636-28
23,250.77694166666666,-27.568346944444443,1636-28
24,251.7925666666667,-27.551509166666666,1636-28
25,246.22686666666667,-26.772230555555556,1636-28
26,247.23542916666668,-26.788952777777777,1636-28
27,248.24378749999997,-26.798241666666666,1636-28
28,249.25206666666665,-26.80009972222222,1636-28
29,250.26037083333333,-26.794525,1636-28
30,251.26881666666668,-26.781522222222222,1636-28
31,246.7464541666667,-26.00196138888889,1636-28
32,247.74811250000002,-26.014883333333334,1636-28
33,248.74962916666667,-26.020419444444446,1636-28
34,249.7511125,-26.018575,1636-28
35,250.7526875,-26.009344444444444,1636-28
36,251.7544666666667,-25.992727777777777,1636-28
1,97.54812916666667,-62.17081666666667,0651-60
2,99.47491666666666,-62.23014166666667,0651-60
3,101.40671666666665,-62.26313611111111,0651-60
4,103.340675,-62.26973611111111,0651-60
5,105.27391666666666,-62.24993333333333,0651-60
6,107.20356249999999,-62.203763888888886,0651-60
7,98.61967916666667,-61.425783333333335,0651-60
8,100.50107916666667,-61.47078055555556,0651-60
9,102.3857625,-61.49007777777778,0651-60
10,104.27110833333333,-61.483645,0651-60
11,106.154475,-61.45149083333333,0651-60
12,108.03325833333334,-61.39366944444444,0651-60
13,97.8065,-60.616575,0651-60
14,99.63994166666667,-60.672983333333335,0651-60
15,101.4775875,-60.70435,0651-60
16,103.31704166666667,-60.71062777777778,0651-60
17,105.15589166666666,-60.69180277777778,0651-60
18,106.99173333333334,-60.64790555555555,0651-60
19,98.81980833333333,-59.87000277777778,0651-60
20,100.61256666666667,-59.912866666666666,0651-60
21,102.4080875,-59.931247222222225,0651-60
22,104.2041625,-59.92511944444445,0651-60
23,105.998575,-59.89449166666667,0651-60
24,107.78913333333333,-59.83940833333333,0651-60
25,98.03750833333334,-59.06203333333333,0651-60
26,99.7874375,-59.11587222222222,0651-60
27,101.54091666666666,-59.145805555555555,0651-60
28,103.29592500000001,-59.15179611111111,0651-60
29,105.05042083333333,-59.133831388888886,0651-60
30,106.802375,-59.09193611111111,0651-60
31,98.99922500000001,-58.313575,0651-60
32,100.7124875,-58.35455833333333,0651-60
33,102.42809166666667,-58.37213055555556,0651-60
34,104.14416666666666,-58.36627222222222,0651-60
35,105.85883333333334,-58.33699166666667,0651-60
36,107.57022916666666,-58.2843225,0651-60
1,357.4754875,-11.285041388888889,2359-09A
2,358.3937708333333,-11.290313888888889,2359-09A
3,359.31168333333335,-11.293241666666667,2359-09A
4,0.22943333333333332,-11.293827777777778,2359-09A
5,1.1472333333333333,-11.292069444444444,2359-09A
6,2.0653041666666665,-11.287969444444444,2359-09A
7,357.9400958333333,-10.508308333333334,2359-09A
8,358.85576249999997,-10.512394444444444,2359-09A
9,359.7711625,-10.514147222222222,2359-09A
10,0.6865125,-10.51356388888889,2359-09A
11,1.6020166666666666,-10.510644444444445,2359-09A
12,2.5179,-10.505386111111111,2359-09A
13,357.48820416666666,-9.725938888888889,2359-09A
14,358.4018625,-9.731183333333334,2359-09A
15,359.31515,-9.734095555555555,2359-09A
16,0.228275,-9.734677777777778,2359-09A
17,1.1414541666666667,-9.732930555555555,2359-09A
18,2.0549,-9.728852777777778,2359-09A
19,357.9496875,-8.949469444444444,2359-09A
20,358.86109166666665,-8.953536111111111,2359-09A
21,359.77222916666665,-8.955280555555555,2359-09A
22,0.6833166666666667,-8.954697222222222,2359-09A
23,1.5945583333333333,-8.951794166666666,2359-09A
24,2.506175,-8.94656111111111,2359-09A
25,357.4989458333333,-8.167108333333333,2359-09A
26,358.4087,-8.172330555555556,2359-09A
27,359.3180791666667,-8.175230555555556,2359-09A
28,0.2273,-8.175808333333332,2359-09A
29,1.1365708333333333,-8.174069444444445,2359-09A
30,2.0461125,-8.170008333333334,2359-09A
31,357.95768749999996,-7.390336111111111,2359-09A
32,358.86553749999996,-7.3943916666666665,2359-09A
33,359.77312083333334,-7.396127777777778,2359-09A
34,0.68065,-7.39555,2359-09A
35,1.5883375,-7.392652777777778,2359-09A
36,2.4964,-7.387438888888889,2359-09A
1,26.885854166666668,-71.26686222222222,0218-69
2,29.681791666666665,-71.35994722222222,0218-69
3,32.49742916666667,-71.41183055555555,0218-69
4,35.32160416666667,-71.422225,0218-69
5,38.14292916666667,-71.3910638888889,0218-69
6,40.950087499999995,-71.3185275,0218-69
7,28.524920833333333,-70.54293888888888,0218-69
8,31.224508333333333,-70.61265277777778,0218-69
9,33.93657916666667,-70.64259444444444,0218-69
10,36.6511625,-70.63260833333334,0218-69
11,39.35822916666667,-70.58275,0218-69
12,42.047916666666666,-70.49326944444445,0218-69
13,27.456645833333333,-69.71938638888889,0218-69
14,30.048258333333333,-69.80555555555556,0218-69
15,32.65527083333333,-69.85355833333334,0218-69
16,35.26894166666667,-69.86316944444444,0218-69
17,37.8803875,-69.83434666666666,0218-69
18,40.480775,-69.76722083333334,0218-69
19,28.95805,-68.99127222222222,0218-69
20,31.466679166666665,-69.05601944444444,0218-69
21,33.985145833333334,-69.08381722222222,0218-69
22,36.50559583333334,-69.07454722222222,0218-69
23,39.02011666666667,-69.02825,0218-69
24,41.52092916666666,-68.945125,0218-69
25,27.94464166666667,-68.17039444444444,0218-69
26,30.361162500000002,-68.25071083333333,0218-69
27,32.78994166666667,-68.29543055555555,0218-69
28,35.2240125,-68.30438611111111,0218-69
29,37.6563125,-68.27753333333334,0218-69
30,40.07982083333333,-68.21498611111112,0218-69
31,29.330258333333333,-67.43824444444445,0218-69
32,31.674599999999998,-67.49876388888889,0218-69
33,34.02682916666667,-67.52474166666667,0218-69
34,36.38064583333333,-67.51608055555556,0218-69
35,38.7297125,-67.4728138888889,0218-69
36,41.06778333333333,-67.39509444444444,0218-69
1,323.877275,-57.591091666666664,2154-55
2,325.55618333333337,-57.640225,2154-55
3,327.2378666666667,-57.667539444444444,2154-55
4,328.92074166666663,-57.673002777777775,2154-55
5,330.60321666666664,-57.65661111111111,2154-55
6,332.2837083333333,-57.618385277777776,2154-55
7,324.7954291666667,-56.83988055555555,2154-55
8,326.4408375,-56.877294444444445,2154-55
9,328.088075,-56.89333611111111,2154-55
10,329.73567916666667,-56.88798888888889,2154-55
11,331.38218333333333,-56.86125833333333,2154-55
12,333.02613333333335,-56.81316944444445,2154-55
13,324.0656791666667,-56.035355277777775,2154-55
14,325.67638750000003,-56.082458333333335,2154-55
15,327.2894541666667,-56.108641666666664,2154-55
16,328.9035416666666,-56.11388055555555,2154-55
17,330.5172875,-56.098166666666664,2154-55
18,332.1293416666667,-56.06151944444444,2154-55
19,324.9422375,-55.28316944444445,2154-55
20,326.5225541666667,-55.319094722222225,2154-55
21,328.1044291666667,-55.33449638888889,2154-55
22,329.68662083333334,-55.32936111111111,2154-55
23,331.267875,-55.303694444444446,2154-55
24,332.8469416666667,-55.25751666666667,2154-55
25,324.2362958333333,-54.47951944444444,2154-55
26,325.78521666666666,-54.52482222222222,2154-55
27,327.33615833333334,-54.55000166666667,2154-55
28,328.8879708333333,-54.555036111111114,2154-55
29,330.43949166666664,-54.53992777777778,2154-55
30,331.98956250000003,-54.50468611111111,2154-55
31,325.0754583333333,-53.72593611111111,2154-55
32,326.5966916666667,-53.76053611111111,2154-55
33,328.1192708333333,-53.77536666666666,2154-55
34,329.64211666666665,-53.77042222222222,2154-55
35,331.16415416666666,-53.74570555555555,2154-55
36,332.68431666666663,-53.701231666666665,2154-55
1,153.34242916666668,2.720561111111111,1023+04A
2,154.24397916666666,2.723158333333333,1023+04A
3,155.14514166666666,2.7246,1023+04A
4,156.04614166666667,2.7248888888888887,1023+04A
5,156.94719166666667,2.724022222222222,1023+04A
6,157.84852083333334,2.722002777777778,1023+04A
7,153.79176666666666,3.5016841666666667,1023+04A
8,154.6937625,3.503702777777778,1023+04A
9,155.59547916666665,3.5045694444444444,1023+04A
10,156.49714583333335,3.5042805555555554,1023+04A
11,157.39897499999998,3.502838888888889,1023+04A
12,158.30119166666668,3.500240277777778,1023+04A
13,153.3383,4.279705555555555,1023+04A
14,154.24134999999998,4.282305555555555,1023+04A
15,155.1440166666667,4.283752222222223,1023+04A
16,156.04651666666666,4.284041111111111,1023+04A
17,156.94907083333334,4.283172222222222,1023+04A
18,157.8519,4.28115,1023+04A
19,153.787625,5.060544444444444,1023+04A
20,154.6914625,5.062569444444445,1023+04A
21,155.59502083333334,5.063436111111111,1023+04A
22,156.498525,5.063147222222222,1023+04A
23,157.40219583333334,5.061702777777778,1023+04A
24,158.30625,5.0591,1023+04A
25,153.33230833333332,5.838563888888888,1023+04A
26,154.2375375,5.841169444444445,1023+04A
27,155.14237916666667,5.842616666666666,1023+04A
28,156.04705833333333,5.842908333333334,1023+04A
29,156.95179583333334,5.842038888888889,1023+04A
30,157.85680416666665,5.840011111111111,1023+04A
31,153.78195833333334,6.619686111111111,1023+04A
32,154.6883125,6.621716666666667,1023+04A
33,155.59439166666667,6.622588888888889,1023+04A
34,156.50041666666667,6.6222972222222225,1023+04A
35,157.40660416666665,6.620847222222222,1023+04A
36,158.31317916666669,6.618236388888889,1023+04A
1,78.91763333333334,-20.598269444444444,0526-18
2,79.8796375,-20.60916111111111,0526-18
3,80.84132916666665,-20.615208333333335,0526-18
4,81.80288333333333,-20.616416666666666,0526-18
5,82.76448333333333,-20.61278888888889,0526-18
6,83.72630833333334,-20.604322222222223,0526-18
7,79.40950833333333,-19.824705555555557,0526-18
8,80.366525,-19.83312777777778,0526-18
9,81.3233125,-19.83673611111111,0526-18
10,82.2800625,-19.835535833333335,0526-18
11,83.23694166666667,-19.829519444444443,0526-18
12,84.1941375,-19.81868972222222,0526-18
13,78.94346250000001,-19.039308333333334,0526-18
14,79.89607500000001,-19.050086944444445,0526-18
15,80.84837499999999,-19.056072222222223,0526-18
16,81.8005375,-19.057266666666667,0526-18
17,82.75274166666667,-19.05367777777778,0526-18
18,83.70517500000001,-19.04529722222222,0526-18
19,79.42964166666667,-18.265955555555557,0526-18
20,80.3777125,-18.274297222222224,0526-18
21,81.32554999999999,-18.27787222222222,0526-18
22,82.27334583333334,-18.276680555555554,0526-18
23,83.22127916666668,-18.270722222222222,0526-18
24,84.16952916666666,-18.259994444444445,0526-18
25,78.96688333333333,-17.4806,0526-18
26,79.91098333333333,-17.49128333333333,0526-18
27,80.8547625,-17.49721388888889,0526-18
28,81.79840416666667,-17.4984,0526-18
29,82.74209583333334,-17.494841666666666,0526-18
30,83.6860125,-17.48653611111111,0526-18
31,79.44785833333334,-16.7069,0526-18
32,80.38783333333333,-16.715175,0526-18
33,81.327575,-16.7187225,0526-18
34,82.267275,-16.717540833333334,0526-18
35,83.20711250000001,-16.711630555555555,0526-18
36,84.14726666666667,-16.700988333333335,0526-18
1,49.066075000000005,-52.99802777777778,0332-51
2,50.561545833333334,-53.03923611111111,0332-51
3,52.058566666666664,-53.06213888888889,0332-51
4,53.55625,-53.06672,0332-51
5,55.053712499999996,-53.05297777777778,0332-51
6,56.55007083333333,-53.020919444444445,0332-51
7,49.87305416666667,-52.242075,0332-51
8,51.34301666666667,-52.273555555555554,0332-51
9,52.81400416666667,-52.28704722222222,0332-51
10,54.285199999999996,-52.28255,0332-51
11,55.755775,-52.26006111111111,0332-51
12,57.224916666666665,-52.219594444444446,0332-51
13,49.20809583333333,-51.44130277777778,0332-51
14,50.6520875,-51.481069444444444,0332-51
15,52.097408333333334,-51.503166666666665,0332-51
16,53.5433,-51.50758888888889,0332-51
17,54.98900416666666,-51.49432777777778,0332-51
18,56.43375416666666,-51.46339444444445,0332-51
19,49.9842,-50.68474611111111,0332-51
20,51.40484583333333,-50.71516111111111,0332-51
21,52.82637916666667,-50.7282,0332-51
22,54.2480875,-50.72385277777778,0332-51
23,55.6692625,-50.702126388888885,0332-51
24,57.08920833333333,-50.663022222222224,0332-51
25,49.3378875,-49.884609166666664,0332-51
26,50.73482083333333,-49.92308333333333,0332-51
27,52.1329,-49.94446111111111,0332-51
28,53.53147083333334,-49.94873888888889,0332-51
29,54.929875,-49.93591111111111,0332-51
30,56.3274625,-49.90598055555556,0332-51
31,50.085929166666666,-49.12696944444444,0332-51
32,51.46143333333333,-49.15643611111111,0332-51
33,52.8377,-49.169066944444445,0332-51
34,54.21412083333334,-49.164855555555555,0332-51
35,55.59008333333333,-49.14380833333333,0332-51
36,56.964983333333336,-49.105925,0332-51
1,190.95437083333331,2.720561111111111,1253+04B
2,191.85592083333333,2.723158333333333,1253+04B
3,192.75708333333336,2.7246,1253+04B
4,193.65807916666665,2.7248888888888887,1253+04B
5,194.55913333333334,2.724022222222222,1253+04B
6,195.4604625,2.722002777777778,1253+04B
7,191.40370416666667,3.5016841666666667,1253+04B
8,192.3057,3.503702777777778,1253+04B
9,193.20742083333334,3.5045694444444444,1253+04B
10,194.1090875,3.5042805555555554,1253+04B
11,195.01091666666667,3.502838888888889,1253+04B
12,195.91313333333332,3.500240277777778,1253+04B
13,190.9502375,4.279705555555555,1253+04B
14,191.8532875,4.282305555555555,1253+04B
15,192.75595416666667,4.283752222222223,1253+04B
16,193.65845416666667,4.284041111111111,1253+04B
17,194.5610125,4.283172222222222,1253+04B
18,195.46384166666667,4.28115,1253+04B
19,191.3995666666667,5.060544444444444,1253+04B
20,192.3034,5.062569444444445,1253+04B
21,193.2069625,5.063436111111111,1253+04B
22,194.11046666666667,5.063147222222222,1253+04B
23,195.0141375,5.061702777777778,1253+04B
24,195.91819166666667,5.0591,1253+04B
25,190.94424583333333,5.838563888888888,1253+04B
26,191.84947916666667,5.841169444444445,1253+04B
27,192.75432083333334,5.842616666666666,1253+04B
28,193.65900000000002,5.842908333333334,1253+04B
29,194.56373333333332,5.842038888888889,1253+04B
30,195.46874166666666,5.840011111111111,1253+04B
31,191.39389583333332,6.619686111111111,1253+04B
32,192.30025,6.621716666666667,1253+04B
33,193.20632916666668,6.622588888888889,1253+04B
34,194.11235416666668,6.6222972222222225,1253+04B
35,195.01854583333335,6.620847222222222,1253+04B
36,195.92512083333332,6.618236388888889,1253+04B
1,107.877275,-57.591091666666664,0730-55
2,109.55618333333334,-57.640225,0730-55
3,111.23786666666668,-57.667539444444444,0730-55
4,112.92074166666666,-57.673002777777775,0730-55
5,114.60321666666667,-57.65661111111111,0730-55
6,116.28370833333334,-57.618385277777776,0730-55
7,108.79542916666668,-56.83988055555555,0730-55
8,110.4408375,-56.877294444444445,0730-55
9,112.088075,-56.89333611111111,0730-55
10,113.73567916666667,-56.88798888888889,0730-55
11,115.38218333333333,-56.86125833333333,0730-55
12,117.02613333333333,-56.81316944444445,0730-55
13,108.06567916666667,-56.035355277777775,0730-55
14,109.6763875,-56.082458333333335,0730-55
15,111.28945416666667,-56.108641666666664,0730-55
16,112.90354166666667,-56.11388055555555,0730-55
17,114.51728750000001,-56.098166666666664,0730-55
18,116.12934166666668,-56.06151944444444,0730-55
19,108.9422375,-55.28316944444445,0730-55
20,110.52255416666667,-55.319094722222225,0730-55
21,112.10442916666666,-55.33449638888889,0730-55
22,113.68662083333334,-55.32936111111111,0730-55
23,115.267875,-55.303694444444446,0730-55
24,116.84694166666667,-55.25751666666667,0730-55
25,108.23629583333333,-54.47951944444444,0730-55
26,109.78521666666666,-54.52482222222222,0730-55
27,111.33615833333333,-54.55000166666667,0730-55
28,112.88797083333333,-54.555036111111114,0730-55
29,114.43949166666667,-54.53992777777778,0730-55
30,115.9895625,-54.50468611111111,0730-55
31,109.07545833333333,-53.72593611111111,0730-55
32,110.59669166666667,-53.76053611111111,0730-55
33,112.11927083333333,-53.77536666666666,0730-55
34,113.64211666666667,-53.77042222222222,0730-55
35,115.16415416666666,-53.74570555555555,0730-55
36,116.68431666666666,-53.701231666666665,0730-55
1,240.144225,-29.8894,1612-28
2,241.18282083333332,-29.90662777777778,1612-28
3,242.22124166666666,-29.916197222222223,1612-28
4,243.25958333333332,-29.91811138888889,1612-28
5,244.29795,-29.912369444444444,1612-28
6,245.33644166666664,-29.898972222222223,1612-28
7,240.68148333333332,-29.119447222222224,1612-28
8,241.7120125,-29.13273611111111,1612-28
9,242.74240833333334,-29.138430555555555,1612-28
10,243.772775,-29.136533333333333,1612-28
11,244.80322500000003,-29.127041666666667,1612-28
12,245.83385833333335,-29.109952777777778,1612-28
13,240.1871958333333,-28.3307,1612-28
14,241.21017500000002,-28.347661111111112,1612-28
15,242.23296666666667,-28.357080555555555,1612-28
16,243.255675,-28.358963888888887,1612-28
17,244.27840833333332,-28.35331111111111,1612-28
18,245.30127916666663,-28.340122222222224,1612-28
19,240.71527500000002,-27.56086388888889,1612-28
20,241.73078750000002,-27.573955555555557,1612-28
21,242.7461625,-27.57956666666667,1612-28
22,243.76150833333332,-27.577697222222223,1612-28
23,244.7769416666667,-27.568346944444443,1612-28
24,245.79256666666666,-27.551509166666666,1612-28
25,240.2268666666667,-26.772230555555556,1612-28
26,241.23542916666665,-26.788952777777777,1612-28
27,242.2437875,-26.798241666666666,1612-28
28,243.25206666666668,-26.80009972222222,1612-28
29,244.26037083333335,-26.794525,1612-28
30,245.26881666666665,-26.781522222222222,1612-28
31,240.74645416666667,-26.00196138888889,1612-28
32,241.7481125,-26.014883333333334,1612-28
33,242.7496291666667,-26.020419444444446,1612-28
34,243.7511125,-26.018575,1612-28
35,244.75268749999998,-26.009344444444444,1612-28
36,245.75446666666667,-25.992727777777777,1612-28
1,88.69126666666668,-25.246388888888887,0605-23
2,89.68684583333332,-25.260330555555555,0605-23
3,90.68216249999999,-25.268071944444443,0605-23
4,91.67736666666667,-25.269619444444444,0605-23
5,92.6726125,-25.264975,0605-23
6,93.66804166666667,-25.254136111111112,0605-23
7,89.20318333333333,-24.474558333333334,0605-23
8,90.19235,-24.48532722222222,0605-23
9,91.18133333333333,-24.48993888888889,0605-23
10,92.17027916666666,-24.48840277777778,0605-23
11,93.1593375,-24.480711111111113,0605-23
12,94.14865833333334,-24.466866944444444,0605-23
13,88.724975,-23.687541666666668,0605-23
14,89.7083,-23.701301666666666,0605-23
15,90.69135833333334,-23.708941666666668,0605-23
16,91.67430416666667,-23.710469444444445,0605-23
17,92.6572875,-23.705886111111113,0605-23
18,93.64045833333334,-23.695186111111113,0605-23
19,89.22960833333333,-22.915877777777776,0605-23
20,90.20703333333333,-22.926516666666668,0605-23
21,91.18427083333333,-22.931075,0605-23
22,92.16147083333333,-22.929555555555556,0605-23
23,93.13878333333334,-22.921958333333333,0605-23
